FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,157.883645264188,112.116354735812,67.8836452641881,22.1163547358119
12,12,123,0.264580741286884,1,0.991726458456369,90,7.02017214309515,82.9798278569048,-82.9798278569048,-7.02017214309515
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,3.73623565131342,176.263764348687,3.73623565131342,-3.73623565131345
26,26,231,0.00468035076420761,1,1.10297185034748,90,172.779593408686,97.2204065913136,82.7795934086865,7.22040659131356
28,28,244,0.216474555818484,0.815141869143416,0.259443591261932,90,165.959718004304,14.0402819956957,75.9597180043043,-75.9597180043043
37,37,353,0.148656104234818,0.874691751497092,0.893657643263912,30,143.265201510894,126.734798489106,-66.7347984891059,-83.2652015108941
54,54,614,0.160886155248021,0.504362270760649,1.07359817020936,30,140.052608781426,129.947391218574,-69.9473912185738,-80.0526087814262
59,59,629,0.25516967126193,0.610838187189228,0.974713972601663,90,7.91630004758088,82.0836999524191,-82.0836999524191,-7.91630004758089
68,68,659,0.151699029126213,1,0.95671981249897,90,8.72638371942048,81.2736162805795,-81.2736162805795,-8.7263837194205
71,71,744,0.167472344431771,0.702664539882098,0.398193509875583,90,175.909089706808,94.090910293192,85.9090897068081,4.09091029319195
76,76,775,0.225196825160181,0.837304242158571,0.285985894346829,150,28.1442716120395,61.8557283879606,58.1442716120395,-88.1442716120394
79,79,779,0.260021900042419,0.727505187148544,1.07359642084687,60,164.524972595109,15.4750274048909,-75.4750274048909,-44.5249725951091
80,80,783,0.105178535539626,0.865829098619249,0.880446176398457,60,169.959757058377,100.040242941623,-70.0402429416227,40.0402429416227
84,84,798,0.23223880135809,0.941312385597019,0.416010910676489,0,149.494331136996,30.5056688630038,-30.5056688630038,30.5056688630038
85,85,800,0.282148931845655,0.929859925502406,0.527409529837808,60,150.873724537629,29.1262754623712,-89.1262754623712,-30.8737245376288
88,88,870,0.17841139177482,0.842723658227372,1.21836253204037,90,4.41076555110981,85.5892344488902,-85.5892344488902,-4.41076555110982
91,91,912,0.0562529218750683,0.898498857725283,1.20669542792277,120,5.17441381965697,84.825586180343,65.174413819657,-35.174413819657
92,92,913,0.0654888451509935,0.799116122799078,1.01765667247033,60,167.140183746426,12.8598162535745,-72.8598162535745,-47.1401837464255
93,93,914,0.0710840656823858,0.868965762645991,0.235432004993664,120,6.06782476324966,173.93217523675,66.0678247632497,53.9321752367503
94,94,915,0.0561438664985229,0.848876389561151,0.507734461034703,0,138.301702475323,131.698297524677,-41.6982975246775,-48.3017024753225
