FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
8,8,107,1,1,1.26529316179806,120,12.3388668138063,77.6611331861937,72.3388668138062,-42.3388668138063
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,157.883645264188,112.116354735812,67.8836452641881,22.1163547358119
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,92.9048833299427,87.0951166700573,2.90488332994268,-2.90488332994268
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,6.73008286626354,83.2699171337364,-83.2699171337365,-6.73008286626356
24,24,140,1,1,1.53375722104621,60,167.160590129641,102.839409870359,-72.8394098703587,42.8394098703587
30,30,250,0.766317232182546,1,1.24085784565666,60,174.180813682685,95.819186317315,-65.819186317315,35.819186317315
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,170.220029119089,99.7799708809111,80.2200291190889,9.77997088091108
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,7.74871731584892,82.2512826841511,67.7487173158489,-37.7487173158489
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,4.03282661916145,175.967173380839,-25.9671733808385,-34.0328266191615
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,6.83361955823957,173.16638044176,-23.1663804417604,-36.8336195582396
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,0.733336067629386,179.266663932371,30.7333360676294,29.2666639323706
67,67,657,0.335892514395394,0.494887941139659,1.23479165951286,60,171.901781560958,8.09821843904249,-68.0982184390425,-51.9017815609575
86,86,801,0.760143085757319,1,1.30517653383849,30,142.387666482015,37.6123335179846,-67.6123335179846,7.61233351798455
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,168.081418787986,11.9185812120145,18.0814187879855,41.9185812120145
90,90,911,0.145241364740678,0.271516697519072,1.34519004521361,120,162.829303213252,107.170696786748,42.8293032132518,-12.8293032132518
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,99.2918307860796,170.70816921392,-80.7081692139204,-9.29183078607957
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,170.927582809731,9.07241719026865,-69.0724171902687,-50.9275828097314
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,178.689878976985,1.31012102301472,88.6898789769853,-88.6898789769853
115,115,1353,0.44321100157402,1,1.29419174486341,90,66.9355745051937,113.064425494806,-23.0644254948063,23.0644254948063
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,104.666029409345,75.3339705906548,44.6660294093452,15.3339705906548
136,136,1580,0.311167013015422,0.785923025923471,1.33957971424864,150,40.3031926059097,49.6968073940903,70.3031926059097,79.6968073940903
137,137,1581,0.208415257569799,0.248365132576722,1.23163084778487,120,2.07710370679109,87.9228962932089,62.0771037067911,-32.0771037067911
144,144,1593,0.334068053450889,0.351069135266311,1.44724993267378,60,1.55876380395713,88.4412361960429,-58.4412361960429,28.4412361960429
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,22.8841108808072,157.115889119193,82.8841108808072,37.1158891191928
153,153,1610,0.61946380063777,1,1.57334087403508,90,12.8344423527236,77.1655576472764,-77.1655576472764,-12.8344423527236
154,154,1611,1,1,1.43950861735482,0,1.27897692436818e-12,179.999999999999,1.27897692436818e-12,-1.25055521493778e-12
155,155,1612,1,0.899457861015278,1.64799872596301,120,1.651512321339,88.348487678661,61.651512321339,-31.651512321339
156,156,1613,1,1,1.46918665675199,120,41.0644271931923,138.935572806808,-78.9355728068077,18.9355728068077
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,38.6034554870036,51.3965445129964,-81.3965445129964,-68.6034554870036
160,160,1619,0.680786344098039,0.826678901865554,1.4404843554945,90,175.643051336284,4.35694866371626,85.6430513362837,-85.6430513362837
164,164,1623,0.187618031037031,1,1.23781875543912,120,27.3964146707308,152.603585329269,87.3964146707308,32.6035853292692
170,170,1646,0.989419066029098,0.32987073838504,1.37102032078519,120,169.008570661157,100.991429338843,49.0085706611567,-19.0085706611567
171,171,1672,0.059758048578886,0.807939461543825,1.50051289547594,90,4.44070750022333,85.5592924997767,-85.5592924997767,-4.44070750022333
191,191,1834,0.345783111886181,0.58709880700719,1.4372229991561,60,169.878463568047,100.121536431953,-70.1215364319526,40.1215364319526
194,194,1840,1,1,1.54814313135624,90,1.2559645875026,88.7440354124974,-88.7440354124974,-1.25596458750262
196,196,1842,0.659697554044453,0.675480414092354,1.57724446485033,90,6.35395238075964,83.6460476192404,-83.6460476192404,-6.35395238075964
197,197,1845,0.858153099674805,1,1.25299316796768,90,179.600750114046,90.3992498859544,89.6007501140456,0.399249885954418
198,198,1847,0.734353280253017,1,1.38837091466217,90,0.81566463489242,89.1843353651076,-89.1843353651076,-0.815664634892414
199,199,1850,0.279557257116864,1,1.35441374380695,150,48.9949352660706,41.0050647339294,78.9949352660706,71.0050647339294
204,204,1859,0.88251458527099,0.969731773540344,1.27812009561608,0,77.1544706379333,12.8455293620667,77.1544706379333,12.8455293620667
207,207,1862,0.378358188307556,0.963556848012181,1.3050152388469,90,178.708647952098,1.29135204790158,88.7086479520984,-88.7086479520984
209,209,1865,0.407412530582957,0.668678169290869,1.61317562108789,60,18.0518621676598,71.9481378323402,-41.9481378323402,11.9481378323402
