Ac,As,sigmaC,deltaSigma,tau,theta,x0,y0,f,phi,dx,dy,cellID
9.79476040363636e-06,3.04201835294167,3.75906857286168e-06,3.04201835293864,0.100307360968019,41.329783611177,-1.47374244541254e-06,2.20305905429541e-06,55.3451409853671,2.20382419041567,1.52951913301388,0.609904300202391,68
5.66135947721591e-06,16.3050147170352,5.90248155557031,16.3050147171087,0.000334429957856486,11.4464265028213,1.20638831369035e-05,8.21218695179482e-06,4.22163973181123,12.3384739439132,4.75963433474675,11.677570530824,71
15.886332303887,25.0390641581439,16.3200356544179,25.039064158148,11.2097439790599,9.79353055740101,26.1344500740956,22.6963011918807,6.62198414439715,149.611781102148,18.0907276589077,25.0390648221154,107
9.08364316036512,11.0590755285417,11.2226845282054,11.0590755283342,11.1317392133193,2.05839396939014,11.4579910534952,13.4500472147857,1.90489057487006,17.8757437946454,9.88275716870335,11.0590714402639,130
1.8773908017522e-05,129.210713272999,130.031826531207,129.210713272999,6.56102786251875,4.02039132042464,6.42472804912586e-06,129.303591194163,7.95876356947475,44.6872227513595,129.210709128788,0.399401776806052,133
1.49543527072638e-06,7.70476306090166,1.70484574368857e-06,7.7047630610363,0.427692727023935,26.7533713762424,1.01941896346602e-06,7.73493635364275e-07,26.7472866654248,2.89665973128682,4.79735394237439,3.54328729585362,135
9.11892967968512,15.5072551723025,9.31257305978627,15.5072551724584,9.78799860529085,0.367656396546835,10.1664328549234,9.40210589635772,1.57924267553759,0.542648521758345,15.5669123282999,12.9849828671236,137
18.5173639094269,21.5818791540246,19.4804627588664,21.5818791540246,-1.09112961808571,11.7820430075934,18.0848452250161,18.8693588680655,2.18162490938458,18.8076091341563,18.1302009968063,18.9864436863672,230
2.14989103497487e-06,87.3846298915253,3.76928949563649e-06,87.3846298926351,6.77119079251763,5.7160223239889,1.948681433106e-06,2.69877716618794e-07,1.67475401550076,1.67425636187957,9.41355627818763,5.73405955350555,232
1.22122619394816e-06,100.895949449388,3.20455306734857e-09,100.895949449372,30.8377879416461,0.0185954981168805,1.24518706456911e-08,2.22226992363517e-07,2.91223537001874,0.33246592556115,1.67216283422493,4.41408872233954,250
6.24519305176818e-05,55.6671583908704,3.20143029028941e-05,55.6671583897212,-2.19380689220328,-2.34850308745889,5.79412524359668e-05,5.02357271443543e-05,-0.399056342301581,1.86670956523471e-05,52.244377259891,4.95590025854756,252
4.86406696964536e-06,6.14621032767584,6.59341491626719e-07,6.14621032776358,4.11998208455184,5.57761492167869,1.35390803635005e-06,2.12933335319576e-06,2.95146036562633,0.862582676955704,5.71171060625454,0.00260255168465306,322
9.40614677855466,9.31919994539061,10.3740093917478,9.31912194428146,9.34393376082002,12.1101666658134,10.220783749497,9.31921230923965,12.767993207581,12.7679969161321,9.31910979877691,9.31910979877691,328
17.5526662572612,7.93851664094923,17.4699963512424,7.93851664087788,8.53003160902067,48.0010943446596,12.4542282451439,17.534731022791,27.8388794930889,8.33485762309462,7.9385166410312,7.9385166410312,329
115.713201836343,54.1269016316584,75.2594814771449,54.1269016320523,58.654868277203,6.07497019181779,12.3032852780951,76.919489672443,115.713236509115,45.2306083947445,54.1268945751206,51.788478536442,363
-3.27908924582232e-05,10.2782662499071,3.87862836603858e-06,10.2782663226488,7.50486936974838,1.20471472443125,4.26456370768092,21.2391693232369,4.98171821070891,17.2203741644114,4.36576701582915,30.6042447227536,375
