Rank,CellID,EnvelopeAspectRatio,R2,SigmaC,OffsetMag,LongAxis,ShortAxis,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
1,646,1.01683114799769,0.660538618137836,3.83780902906641,0.129189463510212,7.80480752164303,7.67561805813282,1,0.996172013162902,0.615719491055656,0,94.5335804046351,94.5335804046351,NaN
2,126,1.03217530284768,0.85324327541234,2.46978054425313,0.158931873957299,5.09849296246357,4.93956108850627,NaN,NaN,0.439449982919711,0,101.567658431988,101.567658431988,NaN
3,744,1.06285400781028,0.74336338799533,3.17832718292253,0.399541203158069,6.75619556900314,6.35665436584507,0.167472344431771,0.702664539882098,0.398193509875583,90,88.6851577769195,88.6851577769195,NaN
4,1608,1.06530632389519,0.573915353541937,1.60879601709958,0.210129107548,3.42772114174716,3.21759203419916,0.188155459592844,0.997058305885903,1.49816609003388,120,42.2151511012429,42.2151511012429,NaN
5,362,1.06672408155769,0.408958551060612,3.2476239626726,0.433389452308168,6.92863737765336,6.49524792534519,0.235466793546788,0.187354279928681,0.1508727454474,60,136.732756887611,136.732756887611,NaN
6,771,1.07282838310887,0.87388524629151,5.09413765131385,0.741995616958363,10.9302709195861,10.1882753026277,0.32887280483954,0.209387845197213,0.194844198409186,150,78.0580859705447,78.0580859705447,NaN
7,244,1.07341144295048,0.613886726244915,3.81485699109791,0.560108312732423,8.18982229492824,7.62971398219582,0.216474555818484,0.815141869143416,0.259443591261932,90,90.214111559551,90.214111559551,NaN
8,615,1.07790515164124,0.914204730262712,2.97204441407306,0.463075141525751,6.40716396967186,5.94408882814611,0.399077451570634,0.64708594337821,0.728872500772882,0,96.6697665227462,96.6697665227462,NaN
9,1440,1.08442444245036,0.634661429530732,3.39733838530998,0.573636797989998,7.36831356860997,6.79467677061997,0.68607588097843,1,0.287495555533532,0,102.109835080918,102.109835080918,NaN
10,1252,1.08800087340241,0.782459430966854,2.2017803272051,0.387517183668576,4.79107783807878,4.4035606544102,0.397287848289014,0.529513257511239,0.783640891946217,60,103.732827132413,103.732827132413,NaN
11,1619,1.10215676321283,0.833728776439555,1.75396905195666,0.358359602246731,3.86629770616005,3.50793810391332,0.680786344098039,0.826678901865554,1.4404843554945,90,84.7955337084169,84.7955337084169,NaN
