cellID,R2_DoG,R2_Gabor,deltaR2_DoG_minus_Gabor,winner
60,0.86981269431986,0.855373047099906,0.0144396472199539,Elliptical nonconcentric DoG
68,0.853246727176873,0.838195530629719,0.0150511965471545,Elliptical nonconcentric DoG
71,0.571179645954995,0.574524239564588,-0.00334459360959327,Elliptical Gabor
81,0.695355470510302,0.768817634113053,-0.0734621636027507,Elliptical Gabor
93,0.72588209718678,0.694513469290273,0.0313686278965074,Elliptical nonconcentric DoG
94,0.880015113841712,0.882284209518084,-0.00226909567637146,Elliptical Gabor
95,0.841972642442982,0.80710960826847,0.0348630341745113,Elliptical nonconcentric DoG
107,0.88517735353785,0.880217766716111,0.00495958682173914,Elliptical nonconcentric DoG
115,0.770504024893451,0.678519537900836,0.0919844869926152,Elliptical nonconcentric DoG
118,0.891697920124176,0.912901934599888,-0.0212040144757126,Elliptical Gabor
121,0.855663979302371,0.822925833041651,0.0327381462607205,Elliptical nonconcentric DoG
123,0.635590235785623,0.713723877720727,-0.0781336419351039,Elliptical Gabor
125,0.698385982024074,0.748834379216599,-0.0504483971925254,Elliptical Gabor
126,0.815651955182764,0.754537273246116,0.0611146819366486,Elliptical nonconcentric DoG
127,0.582918545721766,0.582432872482748,0.00048567323901838,Elliptical nonconcentric DoG
129,0.82785438040581,0.706060140140431,0.121794240265379,Elliptical nonconcentric DoG
130,0.718078892954634,0.708022249083076,0.0100566438715581,Elliptical nonconcentric DoG
131,0.901510129284375,0.905065008341678,-0.0035548790573029,Elliptical Gabor
132,0.950643112982919,0.953152658280934,-0.0025095452980155,Elliptical Gabor
133,0.816696711226435,0.821531382197958,-0.00483467097152335,Elliptical Gabor
135,0.711383565368961,0.825460201076989,-0.114076635708028,Elliptical Gabor
137,0.766777430032902,0.642527432678898,0.124249997354005,Elliptical nonconcentric DoG
139,0.553494877868012,0.583736000720996,-0.0302411228529843,Elliptical Gabor
140,0.68048243797057,0.675819238143047,0.00466319982752272,Elliptical nonconcentric DoG
230,0.949799619396569,0.936295784291285,0.0135038351052843,Elliptical nonconcentric DoG
231,0.613557219288243,0.645592278031122,-0.032035058742879,Elliptical Gabor
232,0.559568583947694,0.54266136169745,0.0169072222502437,Elliptical nonconcentric DoG
244,0.52925380043895,0.52865691787002,0.000596882568929868,Elliptical nonconcentric DoG
245,0.844878534294632,0.795411166109371,0.0494673681852605,Elliptical nonconcentric DoG
250,0.843438847010427,0.842671862766584,0.000766984243843472,Elliptical nonconcentric DoG
252,0.746762224533978,0.726413990902035,0.0203482336319432,Elliptical nonconcentric DoG
322,0.731460160545992,0.728108409485142,0.00335175106085073,Elliptical nonconcentric DoG
328,0.724575211480537,0.711393155884118,0.0131820555964195,Elliptical nonconcentric DoG
329,0.776695281372564,0.806109750918886,-0.0294144695463219,Elliptical Gabor
331,0.877502924837848,0.870746339585821,0.00675658525202705,Elliptical nonconcentric DoG
345,0.458016680490807,0.491682970773651,-0.033666290282844,Elliptical Gabor
353,0.94337859551735,0.888725856039982,0.0546527394773674,Elliptical nonconcentric DoG
358,0.887595696533015,0.883365824427395,0.00422987210562054,Elliptical nonconcentric DoG
362,0.370685603315794,0.370839671502081,-0.000154068186286604,Elliptical Gabor
363,0.866777948690767,0.829728086773737,0.0370498619170309,Elliptical nonconcentric DoG
375,0.707588201342689,0.671821504448351,0.0357666968943378,Elliptical nonconcentric DoG
378,0.555806365261369,0.651319763801219,-0.09551339853985,Elliptical Gabor
445,0.752442266948672,0.711407828018257,0.0410344389304155,Elliptical nonconcentric DoG
446,0.741363454105401,0.781091303581031,-0.0397278494756292,Elliptical Gabor
457,0.847732515847733,0.856725935851681,-0.00899342000394887,Elliptical Gabor
461,0.930973403336646,0.744159834370322,0.186813568966324,Elliptical nonconcentric DoG
462,0.35174162077228,0.243900365876188,0.107841254896092,Elliptical nonconcentric DoG
468,0.885316284362225,0.877323487974363,0.00799279638786154,Elliptical nonconcentric DoG
469,0.829299648755102,0.829886110216543,-0.000586461461440924,Elliptical Gabor
470,0.744934722410304,0.778005989031601,-0.0330712666212974,Elliptical Gabor
479,0.823724366046922,0.780682080868679,0.0430422851782425,Elliptical nonconcentric DoG
599,0.90129587932668,0.920868387485386,-0.0195725081587061,Elliptical Gabor
600,0.623299538714854,0.697075027177839,-0.0737754884629852,Elliptical Gabor
614,0.65896064421068,0.648237141743605,0.010723502467075,Elliptical nonconcentric DoG
615,0.889622568485581,0.883401113779903,0.00622145470567781,Elliptical nonconcentric DoG
617,0.82204851334358,0.858193764506544,-0.0361452511629641,Elliptical Gabor
621,0.862842180477877,0.841760521357704,0.0210816591201727,Elliptical nonconcentric DoG
622,0.866042964134386,0.708757939328119,0.157285024806267,Elliptical nonconcentric DoG
629,0.815047462726744,0.686205533806873,0.128841928919871,Elliptical nonconcentric DoG
632,0.704138036743059,0.775086032508243,-0.0709479957651843,Elliptical Gabor
637,0.648282847486783,0.643558438600081,0.00472440888670256,Elliptical nonconcentric DoG
646,0.65796360627743,0.666874593776845,-0.00891098749941555,Elliptical Gabor
647,0.718647756943491,0.66618116157972,0.0524665953637711,Elliptical nonconcentric DoG
648,0.714186978757345,0.706234644909093,0.00795233384825189,Elliptical nonconcentric DoG
