cellID,DoG_effectiveAR,DoG_majorAxisPix,DoG_minorAxisPix,DoG_effectiveThetaDeg,DoG_R2,Gabor_AR,Gabor_R2,Gabor_AR_raw,AR_difference_DoG_minus_Gabor,AR_ratio_DoG_over_Gabor,DoG_larger_AR,Gabor_larger_AR
60,1.25795280704634,3.00781062744769,2.39103614269124,33.6116753448862,0.86981269431986,1.30173363223832,0.855373047099906,1.30173363223832,-0.04378082519198,0.966367293501744,0,1
68,1.31348932149379,3.48012933279793,2.64952997778473,5.35054089448604,0.853246727176873,1.71082444928326,0.838195530629719,0.584513507752912,-0.397335127789466,0.767752250702327,0,1
71,2.23154967800879,2.05231439428905,0.919681248647051,85.3771102191173,0.571179645954995,1.90936470594382,0.574524239564588,1.90936470594382,0.32218497206497,1.16873935663627,1,0
81,1.27983583255538,1.84324788853308,1.4402221297811,29.7248085079142,0.695355470510302,2.09852022247794,0.768817634113053,2.09852022247794,-0.81868438992256,0.609875386878162,0,1
93,1.4594749983946,3.01498179806634,2.06579886697804,59.6413964908061,0.72588209718678,1.34700574248851,0.694513469290273,0.742387332479043,0.112469255906087,1.08349575087802,1,0
94,1.82748043827314,2.60749633193415,1.42682585122393,132.706960701453,0.880015113841712,1.66583816571071,0.882284209518084,1.66583816571071,0.16164227256243,1.09703359899517,1,0
95,2.28913157090609,3.78994613516415,1.65562616991211,16.5131815573469,0.841972642442982,1.14110212499823,0.80710960826847,1.14110212499823,1.14802944590786,2.00607072825286,1,0
107,1.45464820706527,3.1360232093894,2.15586366116401,104.666612279375,0.88517735353785,1.17182689756417,0.880217766716111,0.853368361895993,0.282821309501099,1.24135075759823,1,0
115,2.30319856033935,4.11190816464368,1.7853033756837,6.68176712718321,0.770504024893451,1.69384142704089,0.678519537900836,1.69384142704089,0.60935713329846,1.3597486302853,1,0
118,1.66220412325313,2.59424045593621,1.56072315045096,178.059618940481,0.891697920124176,1.04000553196209,0.912901934599888,0.961533346955745,0.622198591291038,1.59826469395522,1,0
121,1.53160674914331,3.29390003439419,2.15061734106133,143.91437286345,0.855663979302371,1.26131831421037,0.822925833041651,0.792821279714818,0.270288434932943,1.21429042287565,1,0
123,1.41446724395295,2.36988877687814,1.67546388013562,96.8747298500994,0.635590235785623,1.66981035954568,0.713723877720727,1.66981035954568,-0.25534311559273,0.847082565913531,0,1
125,3.63409448634943,2.73115655792214,0.751537024747443,176.891911173182,0.698385982024074,1.21315947559912,0.748834379216599,1.21315947559912,2.42093501075031,2.99556205053316,1,0
126,1.65385764867169,3.51663934392137,2.12632528969212,173.91915183845,0.815651955182764,2.99999999999998,0.754537273246116,2.99999999999998,-1.34614235132829,0.551285882890567,0,1
127,1.51380309549036,1.46105226439739,0.965153439539053,178.583421771519,0.582918545721766,1.70929579939102,0.582432872482748,1.70929579939102,-0.19549270390066,0.885629682135585,0,1
129,1.31055544562245,2.9065861433179,2.21782767987921,14.1985941066529,0.82785438040581,1.08096635402506,0.706060140140431,0.925098173755759,0.229589091597395,1.21239244935099,1,0
130,1.5828119327845,2.23165957713852,1.40993350562663,94.2875350147489,0.718078892954634,1.03118851964121,0.708022249083076,0.969754783875927,0.551623413143289,1.53493944379367,1,0
131,1.16450227873443,1.67541638979409,1.43874032742548,88.326841838092,0.901510129284375,1.45075771145969,0.905065008341678,1.45075771145969,-0.28625543272526,0.802685568745148,0,1
132,1.54122586058536,1.84260219413339,1.19554326283726,175.163909616378,0.950643112982919,1.17014496437833,0.953152658280934,1.17014496437833,0.37108089620703,1.31712386713058,1,0
133,2.51151179092596,3.35361409931034,1.33529697587998,13.4841385047975,0.816696711226435,2.0573380539817,0.821531382197958,2.0573380539817,0.45417373694426,1.22075795276584,1,0
135,1.66575126773248,1.51710928272912,0.910765798061973,2.13971117768784,0.711383565368961,1.26232840654764,0.825460201076989,1.26232840654764,0.40342286118484,1.31958629710961,1,0
137,1.83098000987164,2.73490762572986,1.49368513636673,7.46628548876157,0.766777430032902,2.11971802162509,0.642527432678898,2.11971802162509,-0.28873801175345,0.863784706829974,0,1
139,1.46430569290481,2.50980580603747,1.71399033562361,42.7794624661446,0.553494877868012,1.90329897366459,0.583736000720996,1.90329897366459,-0.43899328075978,0.76935138050616,0,1
140,1.14474872780546,2.69409161627092,2.35343490744526,42.6052961812779,0.68048243797057,1.7968135819987,0.675819238143047,0.556540761945734,-0.65206485419324,0.63709932920926,0,1
230,1.61179307589677,2.32216895062846,1.44073639808661,161.273224469556,0.949799619396569,1.15152641531542,0.936295784291285,1.15152641531542,0.46026666058135,1.39970134810609,1,0
231,1.91744145949482,4.22618262004597,2.2040738710007,3.58683588171098,0.613557219288243,1.16441413764097,0.645592278031122,0.858800977825585,0.75302732185385,1.64670060033747,1,0
232,1.55271860427129,2.51442160895073,1.6193672195554,41.2679476762624,0.559568583947694,1.07981501690401,0.54266136169745,1.07981501690401,0.47290358736728,1.43794870414302,1,0
244,1.67253815551159,2.95712398525944,1.7680457546004,33.3276920466453,0.52925380043895,2.99999999999998,0.52865691787002,2.99999999999998,-1.32746184448839,0.557512718503867,0,1
245,1.69583763636554,2.45560557621185,1.44801926997836,126.196959746832,0.844878534294632,1.11625824308254,0.795411166109371,1.11625824308254,0.579579393283,1.51921622695703,1,0
