Rank,CellID,AspectRatio_sigmaS_vs_lambda,R2,SigmaC,DeltaSigma,SigmaS,Freq_cyclesPerPixel,Lambda_pixelsPerCycle,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
1,743,1.15507421504591,0.871703846405002,2.95767720840532,0.00631059160370373,17.7839268000541,0.0649504593688723,15.396349921418,0.000538874187965461,0.408962485183084,0.401953748633624,0,104.829923836343,104.829923836343,46.6216544623792
2,622,1.15608930376143,0.752947579712111,3.47644776885848,9.36313408629677e-12,20.858686613207,0.055424836913242,18.0424527286445,1,0.935847921744911,1.07939163752243,60,95.5411682592478,95.5411682592478,49.4984068058314
3,127,1.16319417983707,0.599546804153214,2.3626959214861,2.24840730895426e-14,14.1761755289167,0.0820527495207977,12.1872820330845,0.266742338251986,0.991564205767216,0.879069601011708,0,86.8198395822771,86.8198395822771,10.2601331100397
4,1616,1.17787924380976,0.741309529525259,2.23358768465836,0.295316206402198,15.1734233463633,0.0776277849053798,12.8819855058198,0.92485549132948,0.983440662373505,1.60120117870586,120,122.127951898821,122.127951898821,142.086371391066
5,1240,1.20180856315871,0.864876025008284,4.39318122363258,2.23489062177502e-14,26.3590873417956,0.0455937092045328,21.9328503306018,0.244681600726606,1,0.16951990166067,90,103.896174070169,103.896174070169,68.6680139056736
6,1833,1.21106000356903,0.827748060256462,3.6660873605978,0.637558076830569,25.8218726245702,0.0469005490491297,21.3217120113556,0.066808721678528,0.561513550092065,0.380867880313611,90,88.5167016581658,88.5167016581658,71.9272896635653
7,1840,1.21560628724697,0.771315492892458,2.33840637694905,0.428970942665613,16.604263917688,0.0732104893823101,13.6592448491627,1,1,1.54814313135624,90,88.7809811211612,88.7809811211612,106.894014472586
8,599,1.23381569410306,0.935130613649968,3.17936889301333,0.219763659554063,20.3947953154044,0.0604965960688584,16.5298556444693,0.160920751821753,0.0977850205983782,0.449367759114249,30,68.2996606174825,68.2996606174825,131.072736240541
9,328,1.28276313139751,0.704335556841696,3.44161349371312,2.37702346030209e-14,20.6496809622789,0.0621202397141515,16.0978129608246,0.667059721686811,1,0.158459430505494,0,142.368485320884,142.368485320884,177.000428824073
10,1613,1.29368696357976,0.550730242089224,2.7727965674925,0.080225275988204,17.1181310608842,0.0755740775075554,13.2320503667415,1,1,1.46918665675199,120,42.8221579515784,42.8221579515784,144.760300685776
11,1859,1.30195346097279,0.782901022662051,4.72042480000904,0.885495629099959,33.635522574654,0.0387076923833459,25.8346581371059,0.88251458527099,0.969731773540344,1.27812009561608,0,168.153596998035,168.153596998035,161.451091879279
12,1841,1.30720452516817,0.779154957665908,3.70530141719907,0.540497719564356,25.4747948205805,0.0513136429311732,19.4879946711501,0.00216734101934382,1,1.22225595016539,90,99.2537773620982,99.2537773620982,111.53940730371
13,870,1.31995613520288,0.779544778442174,3.09190804863589,0.643583058815019,22.4129466447054,0.0588925747304489,16.9800692969699,0.17841139177482,0.842723658227372,1.21836253204037,90,107.435634346188,107.435634346188,78.9724701654902
