cellID,DoG_effectiveAR,DoG_effectiveWidthX,DoG_effectiveWidthY,DoG_offsetMag,DoG_R2
60,1.2237612924779,29.6060554186706,24.1926718884234,0.88557254095276,0.86981269431986
68,1.78785329336627,32.9417271508766,18.4252965682951,1.25008842217849,0.853246727176873
71,1.22050727348053,10.962097464342,8.98159126334519,0.971639608076841,0.571179645954995
81,1.18521959669218,6.42621446831146,7.61647532038958,0.47131031205489,0.695355470510302
93,1.37485143747442,19.61217693278,14.2649426681382,1.20308388838715,0.72588209718678
94,1.22294858720661,14.1205752501628,11.5463359603826,1.17959773816297,0.880015113841712
95,2.53133185731072,122.718109584246,48.479660708976,1.73746320900402,0.841972642442982
107,1.1597807187178,16.699368874918,14.3987295230948,1.32216680016872,0.88517735353785
115,1.31985897266787,22.7441643871506,17.2322686424423,1.39908402334745,0.770504024893451
118,1.68472359985308,24.9020854369928,14.7811103489999,0.0001673281454806,0.891697920124176
121,1.4106176839267,22.6291340934009,16.0420036918924,1.30079882608551,0.855663979302371
123,1.01666660326363,11.4434478956875,11.2558510911566,1.07999207357782,0.635590235785623
125,2.63457813017937,34.4367700855381,13.0710756652313,1.47422132704805,0.698385982024074
126,1.63290512812288,23.6817699595986,14.5028449918717,0.178410324082508,0.815651955182764
127,1.73988095404754,15.8430166835814,9.10580499586785,0.980352671850366,0.582918545721766
129,1.18906462028102,16.8250777269352,14.1498430278406,1.35018432044135,0.82785438040581
130,1.06737937229814,10.907090058786,10.2185692752355,1.01958828905754,0.718078892954634
131,1.03649154074212,8.70929735380377,9.02711303302537,0.957941151953908,0.901510129284375
132,1.50505150993109,25.4239120546257,16.8923866637559,0.328010199464689,0.950643112982919
133,1.56011684677036,17.7742355064765,11.3928873617841,1.60882248963412,0.816696711226435
135,2.68102729854946,25.8708901901987,9.64961834002805,1.61961025752641,0.711383565368961
137,1.62214399427724,19.3663383209238,11.9387294773129,1.37373889719327,0.766777430032902
139,1.23997846380662,13.7014446035604,11.0497440104712,1.0488916589255,0.553494877868012
140,1.79973727348748,28.8004507292163,16.0025861293674,1.08758183381061,0.68048243797057
230,1.51352908942223,28.8498810652323,19.0613323964889,0.652801949514927,0.949799619396569
231,3.57698041898881,3.92286790572047,14.0320216850418,0.856783099448254,0.613557219288243
232,1.43741843309169,16.6528128290037,11.5852228172599,1.05220045285674,0.559568583947694
244,1.74379575417793,33.964605735271,19.4773990324818,0.528769923797553,0.52925380043895
245,1.68474335094098,37.0307611386913,21.9800607125166,0.834235094577298,0.844878534294632
250,1.51395213265662,19.8722716793153,13.1260898219048,0.907735262630661,0.843438847010427
252,1.31865767863591,15.5065287940869,11.7593284787358,1.36216138205,0.746762224533978
322,1.53829082538786,23.1875752029316,15.0735965008991,1.91978011878357,0.731460160545992
328,1.29309264631941,17.9383181664069,13.8724152654225,1.05031883531472,0.724575211480537
329,2.43069741281051,157.670413054181,64.8663269328428,0.818203698687861,0.776695281372564
331,1.33767299011732,18.9698974552059,14.1812667186636,1.36810735277419,0.877502924837848
345,1.28517911274972,10.4321935387174,8.1173071015736,0.856287493356318,0.458016680490807
353,1.4783652604222,20.6427434414398,13.9632227529106,1.63016241459644,0.94337859551735
358,1.52770041064046,22.7168835685676,14.8699859019112,0.800948045203996,0.887595696533015
362,1.97976182191889,44.5132286306766,22.4841332618142,0.557166743046589,0.370685603315794
363,1.48755516793736,14.6060440125149,9.81882509457962,1.04907295429118,0.866777948690767
375,1.50672146496242,24.5481427345217,16.2924225249117,1.2855670180299,0.707588201342689
378,1.18174506421131,25.3154325008221,21.4220759345565,0.308646625579614,0.555806365261369
445,1.18638638109649,20.5549394016557,17.3256703964001,0.488753068511108,0.752442266948672
446,2.59002591900289,51.6045315811034,19.9243301785065,0.000531469825174116,0.741363454105401
457,1.22138387973518,17.350736192123,14.2058008788236,1.54296882286065,0.847732515847733
461,1.98124651237252,48.2665918342494,24.3617296145802,1.99382939157524,0.930973403336646
462,1.90382031034821,53.2771651795865,27.9843454185243,1.09492923240435,0.35174162077228
468,2.16073026010381,36.4850247277706,16.885506442631,0.673374945957555,0.885316284362225
469,1.03693943988774,15.2882667205132,14.7436447418457,1.02899994245518,0.829299648755102
470,6.7046441855717,1.53547884448675,10.2948393067564,0.56392671404659,0.744934722410304
479,1.88551052734289,42.5456424024381,22.5645212718036,1.26244158711957,0.823724366046922
599,1.82712501374724,20.098648520674,11.0001496172688,0.478619813107863,0.90129587932668
600,1.74626497615965,52.4699841275837,30.0469773166811,0.554298132895061,0.623299538714854
614,1.9179368495653,31.5938901537427,16.4728521488616,1.18686038481867,0.65896064421068
615,1.71325796147338,5.2199166047477,8.94306368131109,0.262893591535299,0.889622568485581
617,1.79217442827996,18.7724804984838,10.4746949863026,0.446200226721686,0.82204851334358
621,1.46668790343089,35.7902058522061,24.4020597486932,1.08558548392013,0.862842180477877
622,2.52947313813472,43.2097290641026,17.0825016532756,1.71255247839884,0.866042964134386
629,1.93028005812524,34.076483327504,17.6536472954087,1.25495070704521,0.815047462726744
632,2.90239670331421,62.1455296083061,21.4117972010314,0.933387802749473,0.704138036743059
637,1.76524970922232,24.2876880844435,13.7587832234474,0.632903209866373,0.648282847486783
646,1.60760241012153,18.8008508028012,11.6949630607856,1.12077753991908,0.65796360627743
647,1.72212131226908,27.0646415474812,15.7158739948585,1.18394779801518,0.718647756943491
648,1.26309618397342,15.2412382685051,12.066569800377,1.26476750703512,0.714186978757345
649,1.75590309547019,27.4629856965293,15.6403766058487,1.27539892848648,0.848446044842869
654,1.80655234370893,39.4596941487204,21.8425412837515,0.546947243977003,0.820490103900483
657,1.66051077276779,27.2999665005503,16.4407042388806,1.11920932211189,0.856598471805114
659,2.84246824555724,162.27439291618,57.089254442794,0.69596389104642,0.841083788169184
664,1.58946955683052,22.5062193392141,14.1595787365017,0.970734237032374,0.850572355865475
743,1.63833927286328,25.3911135579923,15.4980802685741,0.503368534503112,0.873282856696081
744,1.94859150224977,48.7843351917744,25.0356912341298,1.31723253440372,0.6688951253582
748,1.86884180965367,43.4835286998556,23.2676347860143,1.33377689200186,0.650467861256605
766,2.52378005200032,68.2736488160755,27.0521390174086,1.44251518822392,0.631153880589631
771,1.68709650099707,31.0238135565073,18.3888790820041,2.08923235131534,0.784448962776945
772,1.60155486364189,35.368089720317,22.083595462906,0.880277104440693,0.817578367729151
775,2.52195343719042,77.311217678364,30.6552914650528,1.1419547314448,0.562769407388201
776,1.67621913378102,17.0228467392416,10.155501984304,0.408485738429582,0.847820556454521
778,1.69919471651189,22.7732369852169,13.4023704075339,1.27933893569651,0.764658407418253
779,1.77094743083652,25.2780425193436,14.2737396261409,1.29009172595558,0.825422420899661
783,2.99999999999997,40.9722783667152,13.6574261222385,0.187244222744859,0.605495036161031
792,2.82559955989042,56.5517711139865,20.0140783983487,1.00132873507063,0.63764152242406
